metro_station_id;metro_station;line;adm_area;district
1;Третьяковская;Калининская линия;Центральный административный округ;район Замоскворечье
2;Медведково;Калужско-Рижская линия;Северо-Восточный административный округ;район Северное Медведково
3;Первомайская;Арбатско-Покровская линия;Восточный административный округ;район Измайлово
4;Калужская;Калужско-Рижская линия;Юго-Западный административный округ;Обручевский район
5;Каховская;Большая кольцевая линия;Юго-Западный административный округ;район Зюзино
6;Бульвар адмирала Ушакова;Бутовская линия Лёгкого метро;Юго-Западный административный округ;район Южное Бутово
7;Павелецкая;Замоскворецкая линия;Центральный административный округ;район Замоскворечье
8;Волжская;Люблинско-Дмитровская линия;Юго-Восточный административный округ;район Кузьминки
9;Шаболовская;Калужско-Рижская линия;Южный административный округ;Донской район
10;Плющиха;Солнцевская линия;Центральный административный округ;район Арбат
11;Тимирязевская;Серпуховско-Тимирязевская линия;Северный административный округ;Тимирязевский район
12;ВДНХ;Калужско-Рижская линия;Северо-Восточный административный округ;Останкинский район
13;Тверская;Замоскворецкая линия;Центральный административный округ;Тверской район
14;Фонвизинская;Люблинско-Дмитровская линия;Северо-Восточный административный округ;Бутырский район
15;Воронцовская;Большая кольцевая линия;Юго-Западный административный округ;Обручевский район
16;Дмитровская;Серпуховско-Тимирязевская линия;Северо-Восточный административный округ;Бутырский район
17;Новые Черёмушки;Калужско-Рижская линия;Юго-Западный административный округ;район Черёмушки
18;Улица Милашенкова;Московская монорельсовая транспортная система;Северо-Восточный административный округ;Бутырский район
19;Пушкинская;Таганско-Краснопресненская линия;Центральный административный округ;Тверской район
20;Маяковская;Замоскворецкая линия;Центральный административный округ;Тверской район
21;Нижегородская;Некрасовская линия;Юго-Восточный административный округ;Нижегородский район
22;Ботанический сад;Калужско-Рижская линия;Северо-Восточный административный округ;район Свиблово
24;Белорусская;Замоскворецкая линия;Центральный административный округ;Тверской район
25;Красногвардейская;Замоскворецкая линия;Южный административный округ;район Зябликово
26;Комсомольская;Сокольническая линия;Центральный административный округ;Красносельский район
27;Нагатинская;Серпуховско-Тимирязевская линия;Южный административный округ;Нагорный район
28;Алтуфьево;Серпуховско-Тимирязевская линия;Северо-Восточный административный округ;район Бибирево
29;Новопеределкино;Солнцевская линия;Западный административный округ;район Ново-Переделкино
30;Автозаводская;Замоскворецкая линия;Южный административный округ;Даниловский район
31;Дорогомиловская;Солнцевская линия;Западный административный округ;район Дорогомилово
32;Текстильщики;Таганско-Краснопресненская линия;Юго-Восточный административный округ;район Текстильщики
33;Кожуховская;Люблинско-Дмитровская линия;Юго-Восточный административный округ;Южнопортовый район
34;Марьино;Люблинско-Дмитровская линия;Юго-Восточный административный округ;район Марьино
36;Преображенская площадь;Сокольническая линия;Восточный административный округ;район Преображенское
37;Новослободская;Кольцевая линия;Центральный административный округ;Тверской район
38;Фили;Филёвская линия;Западный административный округ;район Филёвский Парк
39;Кунцевская;Большая кольцевая линия;Западный административный округ;район Кунцево
40;Домодедовская;Замоскворецкая линия;Южный административный округ;район Орехово-Борисово Южное
41;Мнёвники;Большая кольцевая линия;Северо-Западный административный округ;район Хорошёво-Мнёвники
42;Охотный ряд;Сокольническая линия;Центральный административный округ;Тверской район
43;Новокосино;Калининская линия;Восточный административный округ;район Новокосино
44;Курская;Кольцевая линия;Центральный административный округ;Басманный район
45;Лухмановская;Некрасовская линия;Восточный административный округ;район Косино-Ухтомский
46;Достоевская;Люблинско-Дмитровская линия;Центральный административный округ;Тверской район
47;Международная;Филёвская линия;Центральный административный округ;Пресненский район
48;Борисово;Люблинско-Дмитровская линия;Южный административный округ;район Зябликово
49;Выставочный центр;Московская монорельсовая транспортная система;Северо-Восточный административный округ;Останкинский район
50;Беговая;Таганско-Краснопресненская линия;Центральный административный округ;Пресненский район
51;Терехово;Большая кольцевая линия;Северо-Западный административный округ;район Хорошёво-Мнёвники
53;Савёловская;Серпуховско-Тимирязевская линия;Северо-Восточный административный округ;Бутырский район
54;Волоколамская;Арбатско-Покровская линия;Северо-Западный административный округ;район Митино
55;Парк Победы;Солнцевская линия;Западный административный округ;район Дорогомилово
56;Чертановская;Серпуховско-Тимирязевская линия;Южный административный округ;район Чертаново Северное
58;Филёвский парк;Филёвская линия;Западный административный округ;район Фили-Давыдково
59;Фрунзенская;Сокольническая линия;Центральный административный округ;район Хамовники
60;Кузнецкий мост;Таганско-Краснопресненская линия;Центральный административный округ;Мещанский район
61;Лубянка;Сокольническая линия;Центральный административный округ;Тверской район
62;Улица Сергея Эйзенштейна;Московская монорельсовая транспортная система;Северо-Восточный административный округ;Останкинский район
63;Водный стадион;Замоскворецкая линия;Северный административный округ;Головинский район
64;Улица 1905 года;Таганско-Краснопресненская линия;Центральный административный округ;Пресненский район
65;Ломоносовский проспект;Солнцевская линия;Западный административный округ;район Раменки
66;Марксистская;Калининская линия;Центральный административный округ;Таганский район
67;Боровское шоссе;Солнцевская линия;Западный административный округ;район Ново-Переделкино
68;Партизанская;Арбатско-Покровская линия;Восточный административный округ;район Измайлово
69;Улица академика Янгеля;Серпуховско-Тимирязевская линия;Южный административный округ;район Чертаново Южное
70;Краснопресненская;Кольцевая линия;Центральный административный округ;Пресненский район
71;Авиамоторная;Большая кольцевая линия;Юго-Восточный административный округ;район Лефортово
72;Чкаловская;Люблинско-Дмитровская линия;Центральный административный округ;Басманный район
73;Тульская;Серпуховско-Тимирязевская линия;Южный административный округ;Даниловский район
74;Лермонтовский проспект;Таганско-Краснопресненская линия;Юго-Восточный административный округ;район Выхино-Жулебино
75;Спартак;Таганско-Краснопресненская линия;Северо-Западный административный округ;район Покровское-Стрешнево
76;Арбатская;Филёвская линия;Центральный административный округ;район Арбат
77;Аннино;Серпуховско-Тимирязевская линия;Южный административный округ;район Чертаново Южное
78;Севастопольская;Серпуховско-Тимирязевская линия;Юго-Западный административный округ;район Зюзино
79;Профсоюзная;Калужско-Рижская линия;Юго-Западный административный округ;Академический район
81;Улица Горчакова;Бутовская линия Лёгкого метро;Юго-Западный административный округ;район Южное Бутово
82;Мякинино;Арбатско-Покровская линия;Северо-Западный административный округ;район Строгино
83;Октябрьская;Калужско-Рижская линия;Центральный административный округ;район Якиманка
84;Пионерская;Филёвская линия;Западный административный округ;район Фили-Давыдково
85;Площадь Ильича;Калининская линия;Центральный административный округ;Таганский район
86;Рассказовка;Солнцевская линия;Новомосковский административный округ;поселение Внуковское
87;Нагатинский Затон;Большая кольцевая линия;Южный административный округ;район Нагатинский Затон
88;Измайловская;Арбатско-Покровская линия;Восточный административный округ;район Измайлово
89;Косино;Некрасовская линия;Юго-Восточный административный округ;район Выхино-Жулебино
90;Битцевский парк;Бутовская линия Лёгкого метро;Юго-Западный административный округ;район Ясенево
91;Сокол;Замоскворецкая линия;Северный административный округ;район Сокол
92;Рижская;Большая кольцевая линия;Центральный административный округ;Мещанский район
93;Сокольники;Большая кольцевая линия;Восточный административный округ;район Сокольники
94;Смоленская;Филёвская линия;Центральный административный округ;район Арбат
95;Парк культуры;Сокольническая линия;Центральный административный округ;район Хамовники
96;Мичуринский проспект;Солнцевская линия;Западный административный округ;район Раменки
97;Котельники;Таганско-Краснопресненская линия;Юго-Восточный административный округ;район Выхино-Жулебино
98;Библиотека имени Ленина;Сокольническая линия;Центральный административный округ;район Арбат
99;Некрасовка;Некрасовская линия;Юго-Восточный административный округ;район Некрасовка
100;Волгоградский проспект;Таганско-Краснопресненская линия;Юго-Восточный административный округ;Южнопортовый район
101;Трубная;Люблинско-Дмитровская линия;Центральный административный округ;Мещанский район
102;Динамо;Замоскворецкая линия;Северный административный округ;район Аэропорт
103;Алексеевская;Калужско-Рижская линия;Северо-Восточный административный округ;Алексеевский район
104;Улица Академика Королёва;Московская монорельсовая транспортная система;Северо-Восточный административный округ;Останкинский район
105;Планерная;Таганско-Краснопресненская линия;Северо-Западный административный округ;район Северное Тушино
106;Спортивная;Сокольническая линия;Центральный административный округ;район Хамовники
107;Суворовская;Кольцевая линия;Центральный административный округ;Мещанский район
