apartment_id;overview;rent;metro_time;address;description;link
1694126136-1;1-к. квартира, 37 м², 8/9 эт.;70 000 ₽ в месяц;Римская16–20 мин.;Нижегородская ул., 32с15А;"Сдается евродвушка в ЖК бизнес класса 5 минутах езды от метро Таганская или 7минутах пешком от метро Калитники. Это 1 комнатная квартира с большой кухней. В комнате большой 2х спальный диван, столик, зеркало, прикроватные тумбочки.
На кухне большой диван, встроенная кухня, холодильник, стиральная машинка, душева кабина. В коридоре будет шкаф купэ.";https://www.avito.ru/moskva/kvartiry/1-k._kvartira_37m_89et._3375892743
1694126136-2;1-к. квартира, 35 м², 9/9 эт.;95 000 ₽ в месяц;Достоевская6–10 мин.;Самотёчная ул., 13;"Квартира с панорамным видом после кап. Ремонта — никто не жил).

- без комиссии;";https://www.avito.ru/moskva/kvartiry/1-k._kvartira_35m_99et._3281613041
1694126136-3;1-к. квартира, 39,5 м², 15/26 эт.;50 000 ₽ в месяц;Лесопарковаядо 5 мин.;Варшавское ш., 170Ек6;Показы с 04.09.23г. Свежий ремонт. Сдается впервые. Сдам чистую, однокомнатную квартиру, на длительный срок, в ЖК «Зеленая вертикаль». Квартира в хорошем состоянии, оснащена всей необходимой для комфортного проживания мебелью и техникой. Совмещенный СУ. Отдельная гардеробная. Лоджия. Развитая инфраструктура и транспортное сообщение района. Чистый подъезд. Порядочные соседи. Отличный собственник. Оперативный показ.;https://www.avito.ru/moskva/kvartiry/1-k._kvartira_395m_1526et._3273388188
1694126136-4;1-к. квартира, 35 м², 10/15 эт.;72 000 ₽ в месяц;ЦСКАдо 5 мин.;Ходынский б-р, 2;"Отличное расположение до ст. М. Цска — 2 мин. Пешком. 

- Удобная кровать, которая может быть Диваном при необходимости;
- Кухня со встроенной бытовой техникой: посудомоечная машина, варочная панель, духовка, скрытая вытяжка, холодильник, микроволновка;
- Санузел: ванна, стиральная машина, импортная сантехника, теплый пол;
- В обеденной зоне стол со стульями, светильник, теплый пол. 
Пол — бельгийский ламинат, имеет экологический сертификат;
- Рабочее пространство, удобное кресло; Благоустроенная лоджия. Встроенная хоз. Ниша.
- Многофункциональное освещение, управление светом с разных точек;
- Видеодомофон с трех точек (подъезд, паркинг, квартира). Кондиционер. Телевизор. 
Много шкафов.";https://www.avito.ru/moskva/kvartiry/1-k._kvartira_35m_1015et._3618259870
1694126136-5;1-к. квартира, 38,6 м², 15/22 эт.;75 000 ₽ в месяц;Полежаевскаядо 5 мин.;Хорошёвское ш., 80;"Предполагается однокомнатная квартира в одном из лучших районов Москвы. Квартира располагается в 1 минуте от метро Полежаевская и метро Хорошевская. Хороший евро ремонт, новая качественная мебель, новая электроплита, стиральная машина, большой холодильник, плазменный телевизор, новая духовая печь, новый ковер, стиральная машина, кондиционер, полы с подогревом, удобная ванна, все что нужно для комфортного проживания. Утепленный балкон с красивым видом на Москву. Чистый, ухоженный подъезд, достаточно места для парковки. Во дворе оборудована детская площадка. В шаговой доступности торговые центры «хорошо» и «Авиапарк», так же сетевые магазины, салоны красоты, стоматология, пункты выдачи Wildberries и Ozon, фитнес, бассейн, школы, детские сады, поликлиника, банки, несколько живописных парков и многое другое. 
По вопросам и просмотрам пишите.";https://www.avito.ru/moskva/kvartiry/1-k._kvartira_386m_1522et._3398638883
1694126136-6;1-к. квартира, 38 м², 2/9 эт.;75 000 ₽ в месяц;ВДНХдо 5 мин.;Москва, улица Космонавтов, 4;"Собственник, без комиссии! 

Свободна с 17.09! Цена включая счётчики. 

Уважаемые Арендаторы, данная квартира не сдаётся на длительный срок. Срок аренды от недели до 2-3х месяцев. Идеально подойдёт командировочным, людям делающим ремонт, приезжающим на лечение и т. П. 
Стоимость будет гораздо ниже стоимость суточной аренды аналогичной квартиры в этом районе, но дороже квартиры с длительным сроком (которую на месяц вам никто не сдаст). 

Квартира расположена в 3-х минутах ходьбы от м. Вднх и 15 минутах на метро до центра. 

В квартире имеется всё необходимое для проживания: постельные принадлежности, полотенца, посуда, гладильная доска, утюг, сушилка, фен, Wi-Fi, средства для уборки. 

Современный ремонт, встроенная кухня с техникой: холодильник, посудомоечная и стиральная машины, микроволновая печь, газовая варочная панель, электрочайник. 
В комнате: кондиционер, жк телевизор,2-х спальная кровать, большой шкаф и платяной шкаф, угловой кожаный диван с 1.5 спальным местом. 

Строго — Не моложе 25 лет, без животных и не курящим. 
(предпочтение деловым мужчинам/женщинам и семейным парам старше 27 лет).

Посреднические услуги не предлагать — Бан! Сдаётся без посредников! 

Квартира командировочным, квартира на неделю, квартира на месяц, квартира рядом с метро Вднх, квартира рядом с метро, квартира от собственника.";https://www.avito.ru/moskva/kvartiry/1-k._kvartira_38m_29et._2461138857
1694126136-7;1-к. квартира, 40 м², 1/7 эт.;100 000 ₽ в месяц;Маяковская6–10 мин.;Ермолаевский пер., 6;"Вашему Вниманию! 

Залог Разбиваем По Договоренности! 

Рассматриваем Всех Платежеспособных.

Сдается просторная, 1- комнатная квартира, в исторической части города. Квартира на Патриарших прудах — уже о многом говорит! 

Есть все необходимое для комфортной жизни. 

Благоустроенная озеленённая дворовая территория с детской площадкой. Двор тихий и зелёный. Рядом магазины, Трц, кофейни, спортивная площадка, школа, детский сад, автобусная остановка. 

Собственник, адекватный человек, нацелен на очень долговременную сдачу квартиры. 

Оперативный показ!";https://www.avito.ru/moskva/kvartiry/1-k._kvartira_40m_17et._3319321028
1694126136-8;1-к. квартира, 40 м², 2/6 эт.;58 000 ₽ в месяц;Тушинскаядо 5 мин.;пр. Стратонавтов, 11к1;"Если не дозвонились. Пишите! Мы Вам обязательно ответим! Оплата комиссии только по факту подписания договора! 

Зеленый двор, парковка во дворе, чистый подъезд, лифт, приличные соседи. В квартире новый диван, огромный телевизор, все необходимое есть.";https://www.avito.ru/moskva/kvartiry/1-k._kvartira_40m_26et._3372238484
1694126136-9;1-к. квартира, 38 м², 4/17 эт.;47 000 ₽ в месяц;Севастопольская6–10 мин.;Симферопольский б-р, 24к5;"Мы на связи и будем рады вам помочь! 

- Хотите поторговаться? Звоните, обсудим! 
- Фотографии соответствуют данному объекту! 
- Организуем Максимально оперативный показ! 
- Договор аренды заключается Исключительно с собственником жилья! 

Отличный объект недвижимости для комфортной жизни! 
В квартире есть всё необходимое.

Развитая инфраструктура! Хотя где она в Москве не развитая? =).

Собачка, кошечка, хомячок или крокодильчик обсуждаются индивидуально! 

Дети — цветы жизни — так же обсуждаются индивидуально! 

При взаимной симпатии залог можно разбить на два месяца! 

У собственника могут быть дополнительные пожелания к жильцам!";https://www.avito.ru/moskva/kvartiry/1-k._kvartira_38m_417et._3618015558
1694126136-10;1-к. квартира, 68 м², 21/29 эт.;88 000 ₽ в месяц;Ломоносовский проспект6–10 мин.;Мосфильмовская ул., 74Б;"Гарантия Самой Низкой Комиссии за данный объект! Ниже Не Найдете! 

Иначе сделаем скидку! 

Внимание! Отдельно Оплата КУ + счётчики (7000-10000 руб).

Сдаётся прекрасная квартира в Москве.

В квартире только что закончен ремонт. 

+ Цена по низу рынка.

+ Можем разбить залог.

+ Адекватный и лояльный собственник.

+ В квартире есть всё для жизни.

+ В пешей доступности сады и школы, магазины и аптеки.

+ Адекватный и приятный собственник.

+ Полностью прозрачная сделка, собственник с полным набором документов будет на просмотре и подписании договора.

+ Договор без нюансов и подводных камней.

+ Дети обсуждаются + Животные Обсуждаются.

- Их нет.

Пожалуйста звоните — познакомимся и договоримся о просмотре. Спасибо за внимание!";https://www.avito.ru/moskva/kvartiry/1-k._kvartira_68m_2129et._3306579436
